Cell_ID,true_label,canonical_fold,Section_ID,hard_bucket,lzh_pred,wyh_pred,s0_pred,sni_pred,h1_trigger,h2_trigger,h3_trigger,lzh_correct,s0_correct,sni_correct
2795103300156100042,oligodendrocyte_1,3,0610_M4_T,True,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_progenitor_2,True,False,False,True,True,False
2795584800420100182,oligodendrocyte_1,1,0610_F4_L,True,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_progenitor_2,True,False,False,True,True,False
2787445900437100077,oligodendrocyte_2,1,0503_F4_C,True,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_progenitor_2,False,False,True,True,True,False
2707737900086100132,oligodendrocyte_progenitor_2,0,0415_F1_L,True,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_progenitor_2,False,True,False,True,False,True
2796212800627100042,oligodendrocyte_progenitor_2,2,0613_F4_T,True,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_progenitor_2,True,False,False,False,False,True
2795903600380200032,oligodendrocyte_2,1,0613_M5_T,True,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,False,False,True,True,False,False
2656144900479100069,oligodendrocyte_2,0,0328_M2_L,True,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,False,False,True,True,False,False
2795584800400100402,oligodendrocyte_progenitor_2,1,0610_F4_C,True,oligodendrocyte_1,oligodendrocyte_1,DH_ex_Sox5,oligodendrocyte_progenitor_2,True,False,False,False,False,True
2795103300160100095,oligodendrocyte_1,2,0610_M4_L,True,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,True,False,False,True,False,False
2795103300410100288,oligodendrocyte_1,0,0610_M5_L,True,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_progenitor_2,True,False,False,True,True,False
2787445900698100134,oligodendrocyte_2,0,0503_F3_C,True,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_progenitor_2,False,True,False,False,False,False
2795903600193100019,oligodendrocyte_progenitor_2,3,0613_M5_L,True,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_progenitor_2,False,True,False,True,False,True
2656144900504100190,oligodendrocyte_1,1,0328_M2_L,True,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_progenitor_2,True,False,False,True,True,False
