Cell_ID,fold
2707604700067100081,0
2796212800986100038,1
2656144900112100180,2
2787445900053200043,2
2795103300233100096,0
2787445900753100213,2
2787889600412100201,0
2796212800399100077,0
2946331700000001467,1
2796212800760100266,2
2945606900000017077,2
2787445900548100167,0
2707604000123100134,0
2795103300156100042,2
2656144900395100204,0
2787445900097100208,2
2796212800854100197,1
2656143800129100068,0
2787445900512200012,2
2787445900361100208,2
2795584800124200179,0
2787889600315100079,0
2787889600353100095,0
2787445900858100201,2
2787445900618100070,1
2787889600351100126,1
2796212800922100073,1
2787445900754100137,2
2796212800265100093,2
2787445900549100054,2
2787889600409100243,0
2707737900021100138,0
2787445900126100131,0
2656143800267100079,0
2946331700000018601,0
2707604700037200059,1
2656143800468100060,0
2795903600372100097,1
2787445900425100195,1
2707737900112100022,2
2946331700000004514,1
2795903600518100067,2
2707604700272100112,2
2707604000109100211,2
2656144900058100068,0
2707604700365100052,2
2796212800456100305,0
2796212800760100272,1
2787889600092100060,1
2787889600196100010,2
2795584800411100147,0
2795584800420100182,0
2787445900389100156,0
2656143800153100191,0
2795103300382100107,1
2787889600413100192,0
2656144900504100204,0
2787445900253100102,0
2787445900933100079,0
2945606900000006599,0
2795903600435200091,1
2656143800078100083,1
2787445900659100022,0
2656143800052100323,1
2787445900437100077,0
2787445900896100105,1
2787889600348100196,2
2945606900000003404,1
2795103300154100140,2
2795903600518100164,0
2787889600479100206,0
2707604700106100095,0
2656143800213200032,0
2945606900000014789,1
2787889600384200032,0
2787445900248100160,0
2796212800233100131,0
2787889600058100120,0
2787445900583100189,1
2795584800226100152,0
2787889600384100094,2
2707604700035100093,1
2656143800153100293,2
2707737900101100075,2
2656144900530100093,0
2795584800185100303,1
2787445900163100081,1
2707737900007100130,2
2787889600129100183,2
2796212800882100020,2
2795903600089100200,0
2707604000086100243,1
2795103300182100065,0
2796212800488100280,1
2787889600315100102,2
2795103300156100200,1
2656144300141100022,2
2707737900086100132,1
2946331700000020454,1
2726544600456100095,0
2656143800368100034,2
2795103300193100190,1
2945606900000008135,2
2787445900250100079,2
2656143800152100094,0
2726562700118100166,1
2787445900051100104,0
2796212800627100042,1
2656144900403100060,2
2787889600094100080,0
2946331700000013341,2
2787889600409100225,0
2787445900268100092,2
2796212800716100234,0
2726544200059100062,1
2707604700083200126,2
2726544600219100117,0
2707604000038100061,2
2787445900718100163,2
2796212800977100222,2
2787445900090100096,1
2787889600195100078,1
2707604700318100119,0
2787889600445200006,1
2796212800110100105,0
2656144900112100127,1
2656143800192100146,0
2656144900615100044,0
2707604800404100223,2
2795584800419100280,0
2656144900185100150,1
2945606900000003322,2
2656144900111100020,0
2656144900566100073,1
2787445900682100135,0
2707604700318100044,2
2787889600279100150,2
2795903600380200032,0
2796212800452100117,1
2787445900360100160,2
2946331700000003422,0
2656143800418100283,0
2787445900398100118,1
2656143800190100065,1
2787445900096100030,2
2946331700000010493,1
2945606900000016911,2
2787445900252100151,2
2946331700000003596,0
2946331700000003340,0
2796212800406100093,2
2656144900535100149,2
2796212800920100156,2
2656143800129100146,0
2796212800305100059,0
2795103300345100017,2
2795584800448100083,2
2787445900836100086,1
2787445900167100052,2
2787445900127100019,1
2787445900127100075,1
2795103300178100211,1
2795903600481100179,1
2787889600023100227,0
2787889600379100067,1
2656143800443100175,2
2656144900167100041,2
2787889600445100169,1
2656144900541100087,2
2787889600276100039,0
2787445900623100172,2
2656143800130100179,1
2796212801012100140,2
2656144900563200175,1
2656143800052100248,2
2795584800434100172,0
2795584800225100168,0
2656143800215100118,2
2795103300405100111,2
2707604700132100199,2
2795584800709100282,1
2946331700000019907,0
2795903600516100151,1
2946331700000011126,2
2795584800434200032,0
2656144900297200042,2
2707737900101100147,1
