Cell_ID,fold
2707604700067100081,2
2796212800986100038,1
2656144900112100180,3
2787445900053200043,4
2795103300233100096,4
2787445900753100213,2
2787889600412100201,0
2796212800399100077,1
2946331700000001467,3
2796212800760100266,3
2945606900000017077,0
2787445900548100167,2
2707604000123100134,4
2795103300156100042,3
2656144900395100204,0
2787445900097100208,3
2796212800854100197,3
2656143800129100068,0
2787445900512200012,0
2787445900361100208,0
2795584800124200179,2
2787889600315100079,4
2787889600353100095,4
2787445900858100201,4
2787445900618100070,4
2787889600351100126,3
2796212800922100073,4
2787445900754100137,0
2796212800265100093,0
2787445900549100054,3
2787889600409100243,0
2707737900021100138,0
2787445900126100131,1
2656143800267100079,1
2946331700000018601,0
2707604700037200059,1
2656143800468100060,3
2795903600372100097,0
2787445900425100195,4
2707737900112100022,2
2946331700000004514,4
2795903600518100067,3
2707604700272100112,0
2707604000109100211,4
2656144900058100068,4
2707604700365100052,1
2796212800456100305,3
2796212800760100272,1
2787889600092100060,0
2787889600196100010,1
2795584800411100147,2
2795584800420100182,1
2787445900389100156,2
2656143800153100191,2
2795103300382100107,0
2787889600413100192,3
2656144900504100204,2
2787445900253100102,3
2787445900933100079,4
2945606900000006599,1
2795903600435200091,3
2656143800078100083,1
2787445900659100022,2
2656143800052100323,4
2787445900437100077,1
2787445900896100105,2
2787889600348100196,1
2945606900000003404,3
2795103300154100140,4
2795903600518100164,2
2787889600479100206,2
2707604700106100095,0
2656143800213200032,4
2945606900000014789,4
2787889600384200032,0
2787445900248100160,3
2796212800233100131,3
2787889600058100120,1
2787445900583100189,2
2795584800226100152,0
2787889600384100094,4
2707604700035100093,2
2656143800153100293,3
2707737900101100075,1
2656144900530100093,4
2795584800185100303,1
2787445900163100081,1
2707737900007100130,0
2787889600129100183,0
2796212800882100020,1
2795903600089100200,3
2707604000086100243,2
2795103300182100065,2
2796212800488100280,3
2787889600315100102,3
2795103300156100200,0
2656144300141100022,3
2707737900086100132,0
2946331700000020454,1
2726544600456100095,3
2656143800368100034,2
2795103300193100190,3
2945606900000008135,2
2787445900250100079,3
2656143800152100094,0
2726562700118100166,1
2787445900051100104,3
2796212800627100042,2
2656144900403100060,2
2787889600094100080,1
2946331700000013341,2
2787889600409100225,1
2787445900268100092,3
2796212800716100234,1
2726544200059100062,2
2707604700083200126,0
2726544600219100117,2
2707604000038100061,4
2787445900718100163,1
2796212800977100222,3
2787445900090100096,1
2787889600195100078,4
2707604700318100119,3
2787889600445200006,1
2796212800110100105,0
2656144900112100127,3
2656143800192100146,1
2656144900615100044,2
2707604800404100223,1
2795584800419100280,1
2656144900185100150,4
2945606900000003322,0
2656144900111100020,1
2656144900566100073,4
2787445900682100135,0
2707604700318100044,2
2787889600279100150,3
2795903600380200032,1
2796212800452100117,1
2787445900360100160,2
2946331700000003422,0
2656143800418100283,2
2787445900398100118,0
2656143800190100065,2
2787445900096100030,2
2946331700000010493,1
2945606900000016911,3
2787445900252100151,1
2946331700000003596,0
2946331700000003340,2
2796212800406100093,3
2656144900535100149,0
2796212800920100156,0
2656143800129100146,3
2796212800305100059,4
2795103300345100017,3
2795584800448100083,0
2787445900836100086,3
2787445900167100052,2
2787445900127100019,4
2787445900127100075,0
2795103300178100211,0
2795903600481100179,0
2787889600023100227,1
2787889600379100067,0
2656143800443100175,4
2656144900167100041,1
2787889600445100169,3
2656144900541100087,2
2787889600276100039,1
2787445900623100172,4
2656143800130100179,2
2796212801012100140,1
2656144900563200175,2
2656143800052100248,0
2795584800434100172,3
2795584800225100168,1
2656143800215100118,2
2795103300405100111,2
2707604700132100199,4
2795584800709100282,0
2946331700000019907,0
2795903600516100151,0
2946331700000011126,2
2795584800434200032,3
2656144900297200042,2
2707737900101100147,2
2796212800920100186,3
2796212801076100088,4
2787889600361100176,2
2656144900423100118,3
2656144900479100069,0
2656144900588100091,2
2707737900049100026,4
2796212800355100039,4
2656144900584100215,4
2726562700233100049,1
2707604700342100017,1
2787445900231100134,3
2787445900050100097,4
2707604800058100104,0
2795584800400100402,1
2795903600006100074,1
2707604800280100016,0
2707604700250100162,0
2707604000054100060,3
2946331700000001665,1
2787445900097100032,3
2795903600354100114,3
2795903600641100239,3
2946331700000005130,4
2787889600059100183,3
2795903600616100042,0
2795103300345100187,0
2707737900021200024,2
2707737900021100149,1
2707737900087100192,4
2795903600517100085,0
2946331700000012532,1
2787445900752100165,1
2656144900166100113,1
2795903600059100029,1
2787445900580100145,0
2945606900000001552,4
2656144900190100266,0
2795903600033100179,4
2787889600480100065,3
2787889600362100215,3
2787445900225100171,4
2796212800563100112,2
2787445900861100089,0
2795903600462100093,4
2707604700131100047,3
2707604700271100260,0
2795903600694200027,2
2787445900265100216,0
2787445900859100117,2
2795103300160100095,2
2787445900193100122,0
2787445900252100013,1
2787889600583100038,2
2796212800142100152,0
2707604700200100133,3
2787445900087100060,2
2707604800059100087,2
2787445900752100043,4
2707604000086100185,3
2795103300063100206,4
2796212800396100144,4
2656144300162100014,0
2707604000086100021,0
2707604000155100092,3
2787889600057100125,4
2707737900144100205,0
2796212800418100152,4
2787889600518100079,4
2787445900360100208,0
2707604800445100185,0
2707604700106100156,0
2707737900110100007,1
2795903600348100132,2
2795584800419100108,1
2656143800393200013,3
2656144300102100179,1
2945606900000028496,1
2795103300410100288,0
2796212800536100091,3
2787445900698100134,0
2787445900660100194,2
2787445900095100103,4
2787445900432100051,4
2787889600094100239,3
2656144900609100174,3
2787889600518100141,1
2707604000057100275,1
2656144900110100072,3
2787889600193100194,1
2787445900685100065,3
2795584800388100087,3
2787889600478100046,0
2796212800456100298,1
2795103300181100070,4
2787889600379100095,4
2707737900120100153,3
2707604700363100162,1
2787445900126100072,2
2795584800202100191,4
2656144900351100151,4
2795903600300100043,0
2656144900537100149,0
2787445900327100116,1
2795903600669100305,1
2795584800449100206,2
2795584800103100060,3
2787889600230100269,0
2787445900324100101,4
2946331700000003291,1
2795903600463100037,1
2656143800029200138,3
2795103300346100275,2
2796212800207200125,0
2787445900127100018,4
2795903600193100019,3
2796212800429100202,0
2787445900537100049,0
2946331700000018420,2
2707604800424100118,4
2656144900565100164,0
2946331700000014941,4
2795584800222100094,2
2707604700363200032,3
2787445900790100045,1
2787445900249100097,3
2795584800494100150,0
2787889600549100068,1
2795103300382100017,4
2787889600230100144,2
2796212800296100102,3
2946331700000015824,3
2656144900111100164,2
2787445900546100123,0
2656144900590100237,3
2707604800425200049,3
2796212800421100026,1
2796212800886100219,4
2707737900021200044,1
2787889600410100233,3
2707604800102100026,4
2795103300452100022,3
2795584800122100117,1
2787445900726100268,3
2656143800152100075,1
2787445900286100145,1
2726544600053100083,4
2787445900292100174,0
2707737900126100032,2
2707604700295100085,1
2656143800031100019,2
2787445900399200095,1
2795103300098100192,1
2795103300200100050,4
2796212800667100077,2
2795903600320100046,1
2946331700000001675,3
2656144300125200083,2
2787445900361100230,3
2787445900323100099,2
2796212800387100292,0
2707604700412100113,0
2787445900359100123,3
2796212800882100349,1
2946331700000021284,2
2656144900504100190,1
2656143800105100194,0
2796212800823100056,3
2787889600546100213,0
2787445900549100170,3
2795584800747100097,1
2787445900759100119,4
2787445900859100158,4
2795903600268100244,4
2795903600540100023,2
2795584800714100018,0
2787445900251100108,4
2656144900192100181,3
2795903600348100238,2
2796212800142100062,4
2787445900267100210,2
2726544600027100237,2
2787445900324100241,0
2796212800779100104,2
2795903600241100054,2
2946331700000003802,2
2795584800130100185,4
2787445900264100033,4
2787445900303100132,3
2946331700000003124,1
2707737900135100028,4
2707604700200100084,2
2795103300367100045,2
2946331700000018817,2
2656144900529200056,3
2795103300366100183,1
2787889600416100065,2
2787445900225100207,1
2707604800121200057,2
2795584800589100202,0
2707604700107100066,4
2946331700000015765,1
2796212800553100050,3
2656144900532100019,0
2707604000122100133,4
2796212800657100066,2
2787889600353100120,4
2656144900535100107,4
2796212800747100293,2
2707604800403100158,2
2656143800394100034,0
2795903600438100162,0
2796212800887100175,4
2656144900616200135,3
2787445900301100038,0
2787445900686100148,0
2787445900726100281,4
2787445900352100065,2
2707604000010100086,4
2796212800978100235,3
2796212800824100160,2
2726562700278100055,0
2787889600398200058,3
2787445900898100020,0
2795584800238100291,4
2787445900051100037,4
2656144300141100025,0
2795584800494100146,3
2707604000042100205,4
2656144900111100032,3
2787445900097100044,2
2795903600354100169,0
2787889600266100173,4
2707737900077100122,0
2787445900330100033,2
2796212800456100030,3
2656143800131100093,1
2946331700000022441,0
2656144900473100055,1
2787445900264100127,4
2656144900264100096,2
2795903600436100270,4
2787445900548100175,4
2787889600163100015,0
2795584800313100072,1
2787445900550100256,1
2707604700108100194,3
2787445900051100210,4
2707604000110200102,2
2796212800886100208,4
2795584800354100043,1
2795584800137100183,0
2795584800139100153,3
2795584800349100201,1
2795584800124100245,0
2796212800792100191,1
2656144900217100217,3
2796212801050100122,4
2796212800343100093,1
2707604700035100156,1
2787445900398100116,2
2787889600350100103,0
2795903600169100089,4
2787889600354100054,0
2707604000155100180,3
2656143800418100063,2
2795584800101100205,2
2795584800713100089,1
2946331700000015905,2
2795103300146100184,4
2656144900562100058,1
2656143800003100156,3
2707737900060100041,1
2795584800494100148,2
2707604700271100235,2
2787889600193100115,1
2795903600694100117,3
2656144300188100230,1
2707604000040100083,4
2707604800242100248,4
2795903600639100170,3
2796212800623100048,1
2796212800747100155,3
2707604000087100224,3
2796212800715100166,1
2787445900585100071,0
2707604700226100221,3
2787445900657100147,1
2796212800791100086,4
2787889600127100132,2
2656143800128100291,1
2796212800779100178,2
2707604800119100064,3
2656144900343100207,2
2795903600401100209,0
2945606900000028675,1
2787445900229100050,3
2707737900020100069,4
2656144900166100222,1
2656143800241100034,3
2656144300125100022,2
2787889600095100107,0
2656144900288100070,1
2726543700099100012,3
2795584800152100329,2
2787445900730100021,3
2707604000110100291,1
2726543700194100187,2
2707604000085100071,1
2787889600313100114,1
2795903600489100085,2
2707604700342100104,2
2795584800748200051,0
2946331700000000900,4
2796212800980100213,4
2656143800167100063,3
2946331700000008879,0
2707604700061100217,0
2707604700068100176,0
2656143800081100092,3
2796212800816200003,3
2795103300445100084,1
2787445900252100222,3
2795584800421100048,4
2656144900483200003,2
2656143800027100344,3
2707604000154100042,2
2656144900395100181,1
2656144900478100114,3
2707604800101100059,3
2787445900248100070,2
2787445900858100097,0
2787889600326100064,3
2795584800239100064,2
2796212800890100208,2
2787889600379100099,2
2707604000155100044,4
2656143800028100190,1
2787445900168100168,3
2795103300153100149,3
2787889600388100127,2
2787445900163100062,4
2707737900133100223,2
2795584800428100052,4
2787445900389100097,4
2787889600441100117,4
2656144900510100035,1
2787889600389100039,1
2787445900397100033,4
2656143800054100105,1
2795584800225100220,3
2796212800552100138,2
2946331700000017564,1
2726543700098100172,3
2795903600159100113,4
2707604000025100103,4
2787445900088100075,1
2795103300051100106,4
2707737900101100093,4
2787445900252100041,3
2787445900547100043,4
2946331700000012655,0
2707604000152100108,0
2726542200063100202,4
2945606900000006335,4
2795903600461100026,4
2795584800421100152,3
2787445900434100022,0
2946331700000021488,1
2795903600322100055,0
2656144900446100057,0
2795903600489100162,0
2787445900209100186,4
2707604800119100189,1
2707737900121200017,1
2796212800048100035,1
2787445900324100284,0
2945606900000005064,4
2707604000057100022,3
2796212800855100259,2
2796212800979100126,0
2796212800520100213,4
2795903600301100052,0
2946331700000002712,0
2707604700223100181,2
2656144900396100267,4
2787889600414100194,2
2796212800520100087,2
2787445900860100075,4
2707737900007100257,3
2796212800600100106,4
2787445900686100178,0
2707604800080200033,2
2656144900515100178,2
2796212800529100110,1
2707604000026100018,3
2796212800264100246,4
2787445900252100232,2
2796212800595100131,3
2946331700000014165,2
2796212800429100306,1
2787445900090100024,1
2795103300381100300,1
2796212800431100019,3
2707604700060100211,2
2945606900000029557,0
2656144900135100026,0
2656144900377200109,1
2787445900327100122,0
2707604800078100099,3
2707604800014100179,1
2787445900545100063,1
2796212800529100021,3
2795584800419100227,1
2787445900510100019,4
2787445900681100180,2
2787889600280100187,1
2656144900190100049,1
2795103300332100061,1
2796212800889100238,1
2795584800222100100,4
2707604000110100282,0
2796212800779100157,3
2795903600463100104,3
2795103300181100156,2
2656144900535100021,2
2946331700000013232,2
2796212800855100235,0
2787445900261100124,0
2945606900000028780,3
2795903600211100202,4
2787889600397100193,3
2656143800105100155,0
2707737900074100184,3
2787445900625100109,2
2726543700433100081,2
2787445900752100150,0
2795903600320100084,0
2795903600302100045,2
2796212800457100043,3
2946331700000013468,1
2656144900217200049,2
2796212800913100070,0
2726562800040100083,1
2796212800420100232,4
2945606900000012740,1
2787889600377100069,0
2707737900034100174,3
2787445900597100130,1
2707737900133100176,0
2707737900062100103,0
2795103300178100085,4
2787889600396100092,1
2796212800583100026,2
2656144900503100190,0
2795903600348100080,1
2787445900284100060,4
2656143800164100063,0
2707604000126100060,0
2707737900074100236,4
2787445900896100222,4
2707737900047100154,0
2656144300146100227,4
2946331700000004996,4
2787445900617100074,4
2787889600485100060,1
2787445900361100178,2
2796212801009100118,0
2787889600389100137,2
2787889600351100217,4
2787445900052100108,0
2787445900432100098,4
2707737900075100138,0
2796212800232200076,3
2726562700255100152,0
2796212800951100149,2
2656143800027100303,1
2787445900685100098,0
2787445900364100093,3
2796212800595100046,2
2787889600444200175,2
2946331700000017243,4
2796212800554100272,4
2795584800129100103,1
2656143800054100170,3
2795103300344100019,2
2787445900132100057,4
2787445900659100212,3
2707737900134100140,2
2787445900620100089,2
2795903600639100122,1
2656144900421100075,4
2795584800425100122,4
2795103300108100026,1
2656143800215100289,2
2787445900686100244,3
2707604000101100111,0
2656144300187100061,2
2656144900325100030,3
2656143800179100164,1
2707737900099100020,4
2787889600346100131,2
2726544200060200054,0
2656144900537200040,4
