Cell_ID,true_label,canonical_fold,true_family,sni_pred,m0_pred,m1_pred,m2_pred,m0_correct,m1_correct,m2_correct,m1_agrees_sni,m2_agrees_sni,m1_equals_m0,m2_equals_m0
2796212800627100042,oligodendrocyte_progenitor_2,2,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2795103300405100111,oligodendrocyte_progenitor_2,2,oligodendrocyte_opc,oligodendrocyte_progenitor_2,astrocyte_2,astrocyte_2,astrocyte_2,False,False,False,False,False,True,True
2795584800400100402,oligodendrocyte_progenitor_2,1,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2787889600362100215,oligodendrocyte_1,3,oligodendrocyte_opc,oligodendrocyte_1,astrocyte_1,astrocyte_1,astrocyte_1,False,False,False,False,False,True,True
2795903600169100089,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2787889600127100132,alpha_motoneuron,2,neuronal_or_other,alpha_motoneuron,beta_motoneuron,beta_motoneuron,beta_motoneuron,False,False,False,False,False,True,True
2707604700068100176,oligodendrocyte_progenitor_2,0,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2796212800816200003,meninges_2,3,meningeal,meninges_2,meninges_1,meninges_1,meninges_1,False,False,False,False,False,True,True
2787445900434100022,astrocyte_1,0,astrocyte,astrocyte_1,oligodendrocyte_2,oligodendrocyte_1,oligodendrocyte_2,False,False,False,False,False,False,True
2795903600302100045,meninges_3,2,meningeal,meninges_3,meninges_1,meninges_3,meninges_3,False,True,True,True,True,False,False
2787445900617100074,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_2,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,False,True,True,True,True,False,False
2796212800822100176,oligodendrocyte_1,0,oligodendrocyte_opc,oligodendrocyte_1,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,oligodendrocyte_progenitor_2,False,False,False,False,False,True,True
2707604800406100019,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_2,False,False,False,False,False,True,True
2707604800240100095,oligodendrocyte_progenitor_2,3,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2787445900396100255,astrocyte_1,3,astrocyte,astrocyte_1,endothelial,astrocyte_1,astrocyte_1,False,True,True,True,True,False,False
2787445900130100046,oligodendrocyte_progenitor_2,2,oligodendrocyte_opc,oligodendrocyte_progenitor_2,meninges_1,meninges_1,meninges_1,False,False,False,False,False,True,True
2707604000110100036,DH_ex_Prkcg/Nts,4,neuronal_or_other,DH_ex_Prkcg/Nts,DH_ex_Prkcg/Cck,DH_ex_Prkcg/Cck,DH_ex_Prkcg/Cck,False,False,False,False,False,True,True
2796212800388100154,oligodendrocyte_progenitor_2,1,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2787889600097100013,oligodendrocyte_progenitor_2,1,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_2,False,False,False,False,False,True,True
2795584800457100131,astrocyte_1,4,astrocyte,astrocyte_1,endothelial,endothelial,endothelial,False,False,False,False,False,True,True
2795584800385100149,oligodendrocyte_progenitor_2,3,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_1,oligodendrocyte_1,False,False,False,False,False,True,True
2795903600212200113,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_2,oligodendrocyte_2,oligodendrocyte_progenitor_2,False,False,True,False,True,True,False
2796212800585100050,oligodendrocyte_progenitor_2,3,oligodendrocyte_opc,oligodendrocyte_progenitor_2,oligodendrocyte_1,oligodendrocyte_progenitor_2,oligodendrocyte_1,False,True,False,True,False,False,True
2795903600243100183,oligodendrocyte_progenitor_2,4,oligodendrocyte_opc,oligodendrocyte_progenitor_2,astrocyte_1,astrocyte_1,astrocyte_1,False,False,False,False,False,True,True
